Tokens	Path	Size
1445	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/refresh_alert_dialog.dart	5.3KiB
1401	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/drink_list_widget.dart	5.9KiB
1376	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/pump_board_tile_widget.dart	5.2KiB
1374	/home/noah/Sidework/repos/machine-app-v3/lib/services/logger_service.dart	4.3KiB
1350	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/ingredient_quantity_widget.dart	4.7KiB
1328	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/move_conveyor_dialog.dart	4.5KiB
1318	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/drink_position_widget.dart	4.8KiB
1300	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/pump_ingredient_tile_widget.dart	4.8KiB
1286	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/order_item_widget.dart	4.4KiB
1232	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/unfinished_drink_widget.dart	4.6KiB
1226	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/maintenance_dialog.dart	4.4KiB
1222	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/ingredient_screen_view_model.dart	3.9KiB
1211	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/button_widget.dart	4.8KiB
1206	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/fatal_error_dialog.dart	4.7KiB
1189	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/dispensing_drink_dialog.dart	4.8KiB
1183	/home/noah/Sidework/repos/machine-app-v3/lib/injection_container.dart	3.7KiB
1168	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/custom_input_widget.dart	4.6KiB
1165	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/manual_workflow_widget.dart	4.5KiB
1139	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/cleaning_checklist_widget.dart	4.6KiB
1122	/home/noah/Sidework/repos/machine-app-v3/lib/views/tabs/ice_bin_settings_tab.dart	4.2KiB
1115	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/pin_code_dialog.dart	4.1KiB
1103	/home/noah/Sidework/repos/machine-app-v3/lib/extensions.dart	3.8KiB
1094	/home/noah/Sidework/repos/machine-app-v3/lib/constants.dart	3.1KiB
1032	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/test_pour_dialog.dart	3.7KiB
1032	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/settings_view_model.dart	3.3KiB
999	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/pause_alert_dialog.dart	4.0KiB
997	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/fridge_door_open_dialog.dart	3.7KiB
982	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/drink_item_view_model.dart	3.1KiB
969	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/order_list_widget.dart	3.9KiB
950	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/ice_dispenser_settings_view_model.dart	2.6KiB
943	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/orders_grid_widget.dart	3.6KiB
914	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/log_dump_dialog.dart	3.2KiB
898	/home/noah/Sidework/repos/machine-app-v3/lib/services/screen_saver_service.dart	3.0KiB
894	/home/noah/Sidework/repos/machine-app-v3/lib/views/screens/home_screen.dart	3.2KiB
894	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/nozzle_settings_view_model.dart	2.5KiB
892	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/temperature_dialog.dart	3.2KiB
876	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/hot_restart_alert_dialog.dart	3.2KiB
863	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/ingredient_refresh_notification_widget.dart	3.5KiB
862	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/restart_app_dialog.dart	3.3KiB
828	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/glass_position_error_view_model.dart	2.5KiB
811	/home/noah/Sidework/repos/machine-app-v3/lib/services/navigation_service.dart	2.7KiB
802	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/low_ingredients_widget.dart	3.2KiB
799	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/temperature_view_model.dart	2.4KiB
796	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/navigation_rail.dart	2.7KiB
795	/home/noah/Sidework/repos/machine-app-v3/lib/services/websocket_service.dart	2.6KiB
756	/home/noah/Sidework/repos/machine-app-v3/lib/services/ota_service.dart	2.5KiB
729	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/fatal_error_view_model.dart	2.4KiB
715	/home/noah/Sidework/repos/machine-app-v3/lib/services/shutdown_tracker_service.dart	2.4KiB
710	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/order_pickup_view_model.dart	2.1KiB
702	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/drink_history_options.dart	2.4KiB
698	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/refresh_alert_view_model.dart	2.3KiB
696	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/cold_brew_runout_dialog.dart	2.8KiB
686	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/ice_empty_dialog.dart	2.5KiB
682	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/single_drink_workflow_button.dart	2.5KiB
660	/home/noah/Sidework/repos/machine-app-v3/lib/services/audio_service.dart	2.0KiB
659	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/maintenance_view_model.dart	2.0KiB
647	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/ice_bin_settings_view_model.dart	1.8KiB
640	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/drink_history_view_model.dart	2.0KiB
639	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/nozzle_cap_alert_dialog.dart	2.6KiB
625	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/self_serve_button.dart	2.3KiB
618	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/workflow_button.dart	2.3KiB
612	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/emergency_stop_dialog.dart	2.2KiB
610	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/drink_history_drawer.dart	2.2KiB
608	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/finished_drink_widget.dart	2.3KiB
606	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/view_models.dart	1.7KiB
603	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/warning_dialog.dart	2.2KiB
600	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/square_icon_button_widget.dart	2.2KiB
598	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/confirm_autostart_dialog.dart	2.4KiB
575	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/empty_ingredient_widget.dart	2.1KiB
569	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/cancelled_drink_widget.dart	2.1KiB
562	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/conveyor_settings_view_model.dart	1.5KiB
545	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/widgets.dart	1.6KiB
531	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/drink_history_tile.dart	2.2KiB
510	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/manual_drinks_widget.dart	1.8KiB
497	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/hot_restart_dialog_view_model.dart	1.6KiB
492	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/drink_history_tile_list.dart	1.9KiB
465	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/ingredient_tab_button.dart	1.8KiB
446	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/log_dump_button.dart	1.8KiB
429	/home/noah/Sidework/repos/machine-app-v3/lib/views/tabs/qr_settings_tab.dart	1.5KiB
423	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/ingredient_info_widget.dart	1.5KiB
421	/home/noah/Sidework/repos/machine-app-v3/lib/routing/router.dart	1.6KiB
414	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/prime_dialog.dart	1.5KiB
409	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/shutdown_steps_indicator.dart	1.5KiB
398	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/self_program_error_dialog.dart	1.5KiB
397	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/dialogs.dart	1.2KiB
395	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/home_screen_footer.dart	1.4KiB
393	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/hidden_text_button_widget.dart	1.2KiB
389	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/drink_feedback_view_model.dart	1.2KiB
388	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/order_list_view_model.dart	1.3KiB
382	/home/noah/Sidework/repos/machine-app-v3/lib/views/dialogs/mixing_start_dialog.dart	1.4KiB
345	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/shutdown_button.dart	1.3KiB
325	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/move_conveyors_button.dart	1.2KiB
322	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/temperature_box.dart	1.1KiB
314	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/tab_category_widget.dart	1.2KiB
303	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/maintenance_button_widget.dart	1.1KiB
287	/home/noah/Sidework/repos/machine-app-v3/lib/view_models/fridge_door_open_view_model.dart	897B
278	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/loading_widget.dart	972B
270	/home/noah/Sidework/repos/machine-app-v3/lib/main.dart	858B
269	/home/noah/Sidework/repos/machine-app-v3/lib/MainActivity.kt	986B
265	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/drink_report_option_button.dart	935B
264	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/pump_button_widget.dart	971B
258	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/unpause_button.dart	894B
245	/home/noah/Sidework/repos/machine-app-v3/lib/services/garnish_service.dart	693B
243	/home/noah/Sidework/repos/machine-app-v3/lib/widgets/agitate_ice_button.dart	823B
